11000,Jon,V,Yang,Jon Yang,Male,2018-01-19,Rockhampton,Australia,Queensland,Rockhampton
11001,Eugene,L,Huang,Eugene Huang,Male,2018-01-15,Seaford,Australia,Victoria,Seaford
11002,Ruben,NULL,Torres,Ruben Torres,Male,2018-01-07,Hobart,Australia,Tasmania,Hobart
11003,Christy,NULL,Zhu,Christy Zhu,Female,2017-12-29,North Ryde,Australia,New South Wales,North Ryde
11004,Elizabeth,NULL,Johnson,Elizabeth Johnson,Female,2018-01-23,Wollongong,Australia,New South Wales,Wollongong
11005,Julio,NULL,Ruiz,Julio Ruiz,Male,2017-12-30,East Brisbane,Australia,Queensland,East Brisbane
11006,Janet,G,Alvarez,Janet Alvarez,Female,2018-01-24,Matraville,Australia,New South Wales,Matraville
11007,Marco,NULL,Mehta,Marco Mehta,Male,2018-01-09,Warrnambool,Australia,Victoria,Warrnambool
11008,Rob,NULL,Verhoff,Rob Verhoff,Female,2018-01-25,Bendigo,Australia,Victoria,Bendigo
11009,Shannon,C,Carlson,Shannon Carlson,Male,2018-01-27,Hervey Bay,Australia,Queensland,Hervey Bay
11010,Jacquelyn,C,Suarez,Jacquelyn Suarez,Female,2018-01-14,East Brisbane,Australia,Queensland,East Brisbane
11011,Curtis,NULL,Lu,Curtis Lu,Male,2017-12-30,East Brisbane,Australia,Queensland,East Brisbane
11012,Lauren,M,Walker,Lauren Walker,Female,2020-03-16,Bremerton,United States,Washington,Bremerton
11013,Ian,M,Jenkins,Ian Jenkins,Male,2020-04-13,Lebanon,United States,Oregon,Lebanon
11014,Sydney,NULL,Bennett,Sydney Bennett,Female,2020-03-23,Redmond,United States,Washington,Redmond
11015,Chloe,NULL,Young,Chloe Young,Female,2020-01-18,Burbank,United States,California,Burbank
11016,Wyatt,L,Hill,Wyatt Hill,Male,2020-02-09,Imperial Beach,United States,California,Imperial Beach
11017,Shannon,NULL,Wang,Shannon Wang,Female,2018-01-12,Sunbury,Australia,Victoria,Sunbury
11018,Clarence,D,Rai,Clarence Rai,Male,2018-01-17,Bendigo,Australia,Victoria,Bendigo
11019,Luke,L,Lal,Luke Lal,Male,2020-02-12,Langley,Canada,British Columbia,Langley
11020,Jordan,C,King,Jordan King,Male,2019-12-29,Metchosin,Canada,British Columbia,Metchosin
11021,Destiny,NULL,Wilson,Destiny Wilson,Female,2020-01-23,Beaverton,United States,Oregon,Beaverton
11022,Ethan,G,Zhang,Ethan Zhang,Male,2020-01-20,Bellingham,United States,Washington,Bellingham
11023,Seth,M,Edwards,Seth Edwards,Male,2020-02-17,Bellflower,United States,California,Bellflower
11024,Russell,NULL,Xie,Russell Xie,Male,2020-06-27,Concord,United States,California,Concord
11025,Alejandro,NULL,Beck,Alejandro Beck,Male,2018-01-06,Hawthorne,Australia,Queensland,Hawthorne
11026,Harold,NULL,Sai,Harold Sai,Male,2018-01-23,Goulburn,Australia,New South Wales,Goulburn
11027,Jessie,R,Zhao,Jessie Zhao,Male,2018-01-16,Warrnambool,Australia,Victoria,Warrnambool
11028,Jill,NULL,Jimenez,Jill Jimenez,Female,2018-01-26,St. Leonards,Australia,New South Wales,St. Leonards
11029,Jimmy,L,Moreno,Jimmy Moreno,Male,2018-01-19,Bendigo,Australia,Victoria,Bendigo
11030,Bethany,G,Yuan,Bethany Yuan,Female,2018-02-05,Cloverdale,Australia,South Australia,Cloverdale
11031,Theresa,G,Ramos,Theresa Ramos,Female,2018-02-01,Matraville,Australia,New South Wales,Matraville
11032,Denise,NULL,Stone,Denise Stone,Female,2018-02-18,Melbourne,Australia,Victoria,Melbourne
11033,Jaime,NULL,Nath,Jaime Nath,Male,2018-02-15,Milsons Point,Australia,New South Wales,Milsons Point
11034,Ebony,NULL,Gonzalez,Ebony Gonzalez,Female,2018-02-01,North Sydney,Australia,New South Wales,North Sydney
11035,Wendy,NULL,Dominguez,Wendy Dominguez,Female,2018-02-06,Cranbourne,Australia,Victoria,Cranbourne
11036,Jennifer,C,Russell,Jennifer Russell,Female,2020-01-22,National City,United States,California,National City
11037,Chloe,M,Garcia,Chloe Garcia,Female,2020-01-20,Cliffside,Canada,British Columbia,Cliffside
11038,Diana,F,Hernandez,Diana Hernandez,Female,2018-02-07,Lavender Bay,Australia,New South Wales,Lavender Bay
11039,Marc,J,Martin,Marc Martin,Male,2018-02-07,Wollongong,Australia,New South Wales,Wollongong
11040,Jesse,NULL,Murphy,Jesse Murphy,Male,2020-04-03,Tacoma,United States,Washington,Tacoma
11041,Amanda,M,Carter,Amanda Carter,Female,2020-01-14,Glendale,United States,California,Glendale
11042,Megan,J,Sanchez,Megan Sanchez,Female,2020-01-21,Los Angeles,United States,California,Los Angeles
